Card_Type,Name,MagStrip,DoubleSided,Card Type,New Card Type ID,Slot Punch,Overlay,Col/Col,drop ship?,Accessories,grommet,hole punch
877,C/BW+Black Vert BH+Odyssey Lanyard,FALSE,TRUE,PVC White,1,FALSE,FALSE,FALSE,TRUE,BLK VERT BH, BLK LAN,FALSE,FALSE
878,ABB iClass PROX double sided,FALSE,TRUE,ABB PROX,,FALSE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
879,Port Jefferson PROX C/BW,FALSE,TRUE,PORT JEFFERSON PROX,,FALSE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
880,2 sided C/BW DROP + Cover Letter,FALSE,TRUE,PVC White,1,FALSE,FALSE,FALSE,TRUE,NONE,FALSE,FALSE
881,Black Duck PROX C/C,FALSE,TRUE,BLACK DUCK PROX,,FALSE,FALSE,TRUE,FALSE,NONE,FALSE,FALSE
882,2 Side Slot Punch + CLIP C/BW,FALSE,TRUE,PVC White,1,TRUE,FALSE,FALSE,FALSE,CLIP,FALSE,FALSE
883,Telepath Corp. PROX Slot Punch C/BW,FALSE,TRUE,TELEPATH CORP PROX,,TRUE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
884,Telepath Corp. PROX C/BW,FALSE,TRUE,TELEPATH CORP PROX,,FALSE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
885,ABB iClass PROX Single Sided Plain,FALSE,FALSE,ABB PROX,,FALSE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
886,Globe Holo + Clear VBH + Blue Lanyard,FALSE,TRUE,GLOBE HOLOGRAM,3,FALSE,FALSE,FALSE,TRUE,VERT BH, BLU LAN,FALSE,FALSE
887,Beam Longest Neff PROX double sided C/BW,FALSE,TRUE,BEAM LONGEST NEFF PROX,,FALSE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
888,2S-C/C-Sig Panel,FALSE,TRUE,SIG PANEL,,FALSE,FALSE,TRUE,FALSE,NONE,FALSE,FALSE
889,Madico Prox 1-side,FALSE,FALSE,MADICO PROX,,FALSE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
890,Madico Prox Col/BW,FALSE,TRUE,MADICO PROX,,FALSE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
891,Madico Prox Col/Col,FALSE,TRUE,MADICO PROX,,FALSE,FALSE,TRUE,FALSE,NONE,FALSE,FALSE
1010,1K Mifare Col/B&W,FALSE,TRUE,1K MIFARE,,FALSE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
1011,1K Mifare Col/Col,FALSE,TRUE,1K MIFARE,,FALSE,FALSE,TRUE,FALSE,NONE,FALSE,FALSE
1012,1K Mifare Single Side,FALSE,FALSE,1K MIFARE,,FALSE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
1050,iCODE 15693 Col/BW,FALSE,TRUE,ICODE,,FALSE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
1051,iCODE 15693 Col/Col,FALSE,TRUE,ICODE,,FALSE,FALSE,TRUE,FALSE,NONE,FALSE,FALSE
248,Tittabawassee Prox C/BW,FALSE,TRUE,TITTABAWASSEE PROX,,FALSE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
249,Kore iCode 1S,FALSE,FALSE,ICODE,,FALSE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
250,Dynamic Health Prox C/BW,FALSE,TRUE,DYNAMIC HEALTH PROX,,FALSE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
69,2S-C/C-OL Front -OL Back,FALSE,TRUE,PVC White,1,FALSE,TRUE,TRUE,FALSE,NONE,FALSE,FALSE
70,2S-C/C-Mag-OL-Slot,TRUE,TRUE,MADICO PROX,,TRUE,TRUE,TRUE,FALSE,NONE,FALSE,FALSE
251,SADA Prox 1S,FALSE,FALSE,SADA PROX,,FALSE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
252,Southern States Prox C/C SLOT OL MAG,FALSE,TRUE,SOUTHERN STATES PROX,,TRUE,TRUE,TRUE,FALSE,NONE,FALSE,FALSE
253,Superstition Fire C/BW OL,FALSE,TRUE,SUPERSTITION PROX,,FALSE,TRUE,FALSE,FALSE,NONE,FALSE,FALSE
254,Kaysville Police C/BW SLOT OL,FALSE,TRUE,KAYSVILLE PROX,,TRUE,TRUE,FALSE,FALSE,NONE,FALSE,FALSE
255,NorthEastern Police C/BW - OL,FALSE,TRUE,NORTHEASTERN PROX,,FALSE,TRUE,FALSE,FALSE,NONE,FALSE,FALSE
256,Paris Cardiology Lab C/C,FALSE,TRUE,PARIS CARDIOLOGY PROX,,FALSE,FALSE,TRUE,FALSE,NONE,FALSE,FALSE
257,emsCharts C/BW,FALSE,TRUE,EMS CHARTS PROX,,FALSE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
258,Designs for Health Prox C/BW,FALSE,TRUE,DESIGNS FOR HEALTH PROX,,FALSE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
1013,1K Mifare Col/BW - Slot,FALSE,TRUE,1K MIFARE,,TRUE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
892,2S C/B - Slot + Clip,FALSE,TRUE,PVC White,1,TRUE,FALSE,FALSE,TRUE,CLIP,FALSE,FALSE
259,SSL Crescendo Prox C/C,FALSE,TRUE,SSL CRESCENDO PROX,,FALSE,FALSE,TRUE,FALSE,NONE,FALSE,FALSE
71,2S-C/C-Mag-OL-Slot-CLIP-DROP SHIP,FALSE,TRUE,MAG STRIPE,2,TRUE,TRUE,TRUE,TRUE,CLIP,FALSE,FALSE
265,Mohawk Prox MAG SLOT C/BW,FALSE,TRUE,MOHAWK PROX,,TRUE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
515,2S-C/B-MAGCLIP-Drop Ship,FALSE,TRUE,MAG STRIPE,2,FALSE,FALSE,FALSE,TRUE,CLIP,FALSE,FALSE
1014,1k Mifare-1S-OL,FALSE,TRUE,1K MIFARE,,FALSE,TRUE,FALSE,FALSE,NONE,FALSE,FALSE
542,C-BW SLOT CLIP Drop Ship,FALSE,TRUE,PVC White,1,TRUE,FALSE,FALSE,TRUE,NONE,FALSE,FALSE
516,2S-C/B-Slot-OL-Lanyard-DROP SHIP,FALSE,TRUE,PVC White,1,TRUE,TRUE,FALSE,TRUE,BLK LAN,FALSE,FALSE
76,1S-Slot-Globe-OL,FALSE,FALSE,GLOBE HOLOGRAM,3,FALSE,TRUE,FALSE,FALSE,NONE,FALSE,FALSE
